idBP,size,size_value
841,Малый,10-99 м2
846,Малый,10-99 м2
849,Малый,10-99 м2
850,Малый,10-99 м2
861,Малый,10-99 м2
865,Малый,10-99 м2
866,Средний,200-499 м2
871,Средний,200-499 м2
874,Малый,10-99 м2
876,Малый,10-99 м2
880,Малый,10-99 м2
884,Средний,200-499 м2
887,Малый,10-99 м2
890,Малый,10-99 м2
906,Средний,100-199 м2
912,Малый,10-99 м2
917,Средний,100-199 м2
922,Средний,200-499 м2
937,Малый,10-99 м2
941,Большой,500-1999 м2
951,Малый,10-99 м2
957,Средний,100-199 м2
966,Малый,10-99 м2
972,Малый,10-99 м2
978,Малый,10-99 м2
980,Большой,500-1999 м2
988,Средний,200-499 м2
992,Большой,500-1999 м2
1008,Большой,500-1999 м2
1020,Средний,100-199 м2
1033,Малый,10-99 м2
1040,Средний,100-199 м2
1057,Малый,10-99 м2
1058,Малый,10-99 м2
1060,Малый,10-99 м2
1061,Малый,10-99 м2
1069,Малый,10-99 м2
1074,Малый,10-99 м2
1086,Малый,10-99 м2
1096,Малый,10-99 м2
1098,Малый,10-99 м2
1104,Малый,10-99 м2
1105,Большой,500-1999 м2
1160,Малый,10-99 м2
1169,Малый,10-99 м2
1174,Малый,10-99 м2
1176,Малый,10-99 м2
1179,Малый,10-99 м2
1186,Малый,10-99 м2
1187,Малый,10-99 м2
1188,Средний,200-499 м2
1198,Малый,10-99 м2
1205,Средний,200-499 м2
1215,Малый,10-99 м2
1246,Малый,10-99 м2
1259,Малый,10-99 м2
1279,Средний,100-199 м2
1281,Малый,10-99 м2
1284,Малый,10-99 м2
1297,Малый,10-99 м2
1302,Малый,10-99 м2
1306,Малый,10-99 м2
1308,Малый,10-99 м2
1329,Малый,10-99 м2
1356,Большой,500-1999 м2
1363,Средний,100-199 м2
1372,Малый,10-99 м2
1384,Малый,10-99 м2
1386,Малый,10-99 м2
1389,Малый,10-99 м2
1391,Средний,100-199 м2
1392,Большой,500-1999 м2
1393,Средний,200-499 м2
1408,Малый,10-99 м2
1424,Малый,10-99 м2
1429,Малый,10-99 м2
1431,Малый,10-99 м2
1440,Средний,200-499 м2
1446,Средний,200-499 м2
1450,Малый,10-99 м2
1453,Малый,10-99 м2
1461,Малый,10-99 м2
1468,Средний,100-199 м2
1469,Малый,10-99 м2
1483,Малый,10-99 м2
1484,Малый,10-99 м2
1489,Большой,2000-4999 м2
1499,Малый,10-99 м2
1510,Малый,10-99 м2
1513,Малый,10-99 м2
1523,Средний,200-499 м2
1529,Малый,10-99 м2
1530,Малый,10-99 м2
1532,Малый,10-99 м2
1616,Малый,10-99 м2
1621,Малый,10-99 м2
1633,Малый,10-99 м2
1690,Малый,10-99 м2
1692,Средний,100-199 м2
1746,Малый,10-99 м2
1749,Малый,10-99 м2
1757,Малый,10-99 м2
1759,Малый,10-99 м2
1770,Малый,10-99 м2
1772,Малый,10-99 м2
1815,Большой,2000-4999 м2
1817,Средний,200-499 м2
1818,Большой,500-1999 м2
1819,Средний,200-499 м2
1820,Большой,2000-4999 м2
1821,Большой,500-1999 м2
1823,Большой,500-1999 м2
1824,Большой,2000-4999 м2
1826,Большой,2000-4999 м2
1827,Большой,2000-4999 м2
1828,Большой,2000-4999 м2
1829,Большой,2000-4999 м2
1839,Малый,10-99 м2
1840,Большой,500-1999 м2
1841,Малый,10-99 м2
1850,Малый,10-99 м2
1851,Малый,10-99 м2
1855,Малый,10-99 м2
1859,Большой,500-1999 м2
1860,Малый,10-99 м2
2462,Малый,10-99 м2
2464,Большой,500-1999 м2
2466,Средний,200-499 м2
2468,Средний,100-199 м2
2474,Малый,10-99 м2
2477,Малый,10-99 м2
2478,Малый,10-99 м2
2491,Средний,100-199 м2
2492,Средний,100-199 м2
2493,Средний,100-199 м2
2517,Малый,10-99 м2
2527,Малый,10-99 м2
2528,Малый,10-99 м2
2529,Малый,10-99 м2
2530,Средний,100-199 м2
2536,Малый,10-99 м2
2537,Малый,10-99 м2
2538,Малый,10-99 м2
2541,Средний,100-199 м2
2544,Малый,10-99 м2
2545,Малый,10-99 м2
2547,Малый,10-99 м2
2550,Малый,10-99 м2
2551,Средний,100-199 м2
2554,Большой,500-1999 м2
2559,Большой,500-1999 м2
2564,Большой,500-1999 м2
2573,Малый,10-99 м2
2583,Средний,100-199 м2
2602,Малый,10-99 м2
2605,Малый,10-99 м2
2608,Малый,10-99 м2
2609,Средний,100-199 м2
2613,Малый,10-99 м2
2616,Малый,10-99 м2
2622,Малый,10-99 м2
2630,Малый,10-99 м2
2634,Малый,10-99 м2
2638,Малый,10-99 м2
2640,Средний,100-199 м2
2646,Малый,10-99 м2
2665,Малый,10-99 м2
2666,Малый,10-99 м2
2674,Средний,200-499 м2
2685,Малый,10-99 м2
2704,Малый,10-99 м2
2711,Средний,100-199 м2
2725,Малый,10-99 м2
2733,Малый,10-99 м2
2739,Большой,500-1999 м2
2741,Средний,200-499 м2
2742,Малый,10-99 м2
2748,Малый,10-99 м2
2750,Малый,10-99 м2
2780,Малый,10-99 м2
2793,Малый,10-99 м2
2820,Малый,10-99 м2
2837,Малый,10-99 м2
2840,Малый,10-99 м2
2842,Большой,2000-4999 м2
2854,Малый,10-99 м2
2873,Малый,10-99 м2
2882,Малый,10-99 м2
2885,Большой,500-1999 м2
2886,Малый,10-99 м2
2888,Малый,10-99 м2
2890,Малый,10-99 м2
2891,Малый,10-99 м2
2900,Малый,10-99 м2
2902,Малый,10-99 м2
2913,Малый,10-99 м2
2920,Средний,100-199 м2
2921,Малый,10-99 м2
2922,Малый,10-99 м2
2926,Средний,100-199 м2
2944,Малый,10-99 м2
2945,Большой,2000-4999 м2
2956,Малый,10-99 м2
2957,Средний,100-199 м2
2958,Малый,10-99 м2
2966,Малый,10-99 м2
2971,Малый,10-99 м2
2973,Малый,10-99 м2
2974,Малый,10-99 м2
2994,Малый,10-99 м2
3027,Малый,10-99 м2
3032,Малый,10-99 м2
3035,Малый,10-99 м2
3055,Малый,10-99 м2
3059,Малый,10-99 м2
3085,Средний,200-499 м2
3094,Малый,10-99 м2
3098,Малый,10-99 м2
3100,Средний,200-499 м2
3104,Большой,500-1999 м2
3106,Средний,200-499 м2
3112,Малый,10-99 м2
3115,Малый,10-99 м2
3116,Малый,10-99 м2
3119,Малый,10-99 м2
3120,Малый,10-99 м2
3121,Малый,10-99 м2
3122,Малый,10-99 м2
3123,Малый,10-99 м2
3124,Малый,10-99 м2
3133,Малый,10-99 м2
3136,Средний,100-199 м2
3139,Малый,10-99 м2
3144,Малый,10-99 м2
3145,Малый,10-99 м2
3149,Большой,500-1999 м2
3161,Средний,100-199 м2
3163,Малый,10-99 м2
3165,Малый,10-99 м2
3199,Средний,200-499 м2
3202,Малый,10-99 м2
3213,Большой,500-1999 м2
3224,Малый,10-99 м2
3225,Малый,10-99 м2
3227,Малый,10-99 м2
3228,Малый,10-99 м2
3237,Средний,100-199 м2
3242,Малый,10-99 м2
3246,Малый,10-99 м2
3253,Малый,10-99 м2
3256,Малый,10-99 м2
3257,Малый,10-99 м2
3261,Малый,10-99 м2
3264,Большой,2000-4999 м2
3275,Малый,10-99 м2
3279,Малый,10-99 м2
3284,Малый,10-99 м2
3288,Средний,200-499 м2
3298,Малый,10-99 м2
3300,Малый,10-99 м2
3306,Средний,100-199 м2
3309,Малый,10-99 м2
3311,Малый,10-99 м2
3312,Малый,10-99 м2
3323,Малый,10-99 м2
3331,Малый,10-99 м2
3338,Малый,10-99 м2
3341,Малый,10-99 м2
3343,Средний,200-499 м2
3347,Малый,10-99 м2
3348,Малый,10-99 м2
3350,Малый,10-99 м2
3359,Малый,10-99 м2
3364,Средний,100-199 м2
3370,Малый,10-99 м2
3373,Малый,10-99 м2
3377,Малый,10-99 м2
3386,Малый,10-99 м2
3387,Малый,10-99 м2
3390,Малый,10-99 м2
3392,Малый,10-99 м2
3397,Средний,100-199 м2
3404,Средний,100-199 м2
3406,Средний,100-199 м2
3410,Малый,10-99 м2
3411,Малый,10-99 м2
3414,Малый,10-99 м2
3415,Малый,10-99 м2
3416,Малый,10-99 м2
3417,Малый,10-99 м2
3424,Средний,100-199 м2
3429,Малый,10-99 м2
3447,Малый,10-99 м2
3448,Малый,10-99 м2
3449,Малый,10-99 м2
3457,Малый,10-99 м2
3461,Малый,10-99 м2
3463,Малый,10-99 м2
3465,Малый,10-99 м2
3471,Средний,200-499 м2
3474,Средний,200-499 м2
3479,Большой,2000-4999 м2
3487,Малый,10-99 м2
3488,Малый,10-99 м2
3491,Большой,2000-4999 м2
3492,Большой,5000-7999 м2
3493,Большой,5000-7999 м2
3494,Большой,2000-4999 м2
3495,Большой,5000-7999 м2
3496,Большой,2000-4999 м2
3497,Большой,5000-7999 м2
3498,Большой,Более 8000 м2
3499,Большой,2000-4999 м2
3500,Большой,2000-4999 м2
3501,Большой,5000-7999 м2
3502,Большой,2000-4999 м2
3503,Большой,5000-7999 м2
3504,Большой,2000-4999 м2
3505,Большой,5000-7999 м2
3506,Большой,2000-4999 м2
3507,Средний,200-499 м2
3508,Средний,200-499 м2
3509,Большой,2000-4999 м2
3510,Большой,2000-4999 м2
3511,Большой,2000-4999 м2
3512,Большой,2000-4999 м2
3513,Большой,2000-4999 м2
3514,Большой,5000-7999 м2
3515,Большой,2000-4999 м2
3520,Малый,10-99 м2
3525,Малый,10-99 м2
3529,Малый,10-99 м2
3536,Средний,200-499 м2
3537,Малый,10-99 м2
3546,Средний,100-199 м2
3547,Малый,10-99 м2
3555,Малый,10-99 м2
3588,Средний,100-199 м2
3592,Малый,10-99 м2
3593,Малый,10-99 м2
3606,Средний,100-199 м2
3607,Малый,10-99 м2
3609,Средний,100-199 м2
3615,Малый,10-99 м2
3616,Малый,10-99 м2
3619,Малый,10-99 м2
3635,Малый,10-99 м2
3640,Большой,2000-4999 м2
3641,Большой,2000-4999 м2
3645,Малый,10-99 м2
3647,Малый,10-99 м2
3653,Средний,200-499 м2
3657,Средний,100-199 м2
3661,Малый,10-99 м2
3663,Малый,10-99 м2
3666,Малый,10-99 м2
3668,Большой,2000-4999 м2
3669,Большой,2000-4999 м2
3670,Большой,2000-4999 м2
3671,Большой,2000-4999 м2
3672,Большой,2000-4999 м2
3674,Большой,500-1999 м2
3677,Большой,2000-4999 м2
3678,Большой,2000-4999 м2
3684,Малый,10-99 м2
3687,Малый,10-99 м2
3691,Малый,10-99 м2
3693,Малый,10-99 м2
3704,Малый,10-99 м2
3709,Малый,10-99 м2
3710,Средний,200-499 м2
3720,Малый,10-99 м2
3732,Малый,10-99 м2
3734,Малый,10-99 м2
3736,Малый,10-99 м2
3737,Малый,10-99 м2
3753,Малый,10-99 м2
3754,Средний,200-499 м2
3756,Малый,10-99 м2
3760,Малый,10-99 м2
3762,Малый,10-99 м2
3763,Малый,10-99 м2
3770,Средний,100-199 м2
3787,Малый,10-99 м2
3788,Малый,10-99 м2
3792,Средний,100-199 м2
3793,Малый,10-99 м2
3799,Малый,10-99 м2
3803,Малый,10-99 м2
3804,Малый,10-99 м2
3810,Малый,10-99 м2
3811,Малый,10-99 м2
3818,Средний,100-199 м2
3821,Малый,10-99 м2
3823,Малый,10-99 м2
3828,Средний,200-499 м2
3829,Малый,10-99 м2
3854,Средний,200-499 м2
3855,Средний,200-499 м2
3882,Малый,10-99 м2
3894,Малый,10-99 м2
3908,Большой,500-1999 м2
3910,Большой,500-1999 м2
3913,Малый,10-99 м2
3919,Малый,10-99 м2
3922,Средний,200-499 м2
3926,Средний,200-499 м2
3927,Малый,10-99 м2
3928,Малый,10-99 м2
3935,Большой,500-1999 м2
3936,Малый,10-99 м2
3938,Средний,100-199 м2
3949,Малый,10-99 м2
3955,Большой,5000-7999 м2
3966,Малый,10-99 м2
3969,Малый,10-99 м2
3972,Средний,100-199 м2
3973,Малый,10-99 м2
3977,Средний,100-199 м2
3980,Малый,10-99 м2
3981,Малый,10-99 м2
3982,Малый,10-99 м2
3984,Малый,10-99 м2
3985,Малый,10-99 м2
3987,Малый,10-99 м2
3990,Малый,10-99 м2
4018,Средний,100-199 м2
4032,Малый,10-99 м2
4035,Малый,10-99 м2
4036,Малый,10-99 м2
4058,Малый,10-99 м2
4067,Средний,200-499 м2
4069,Малый,10-99 м2
4079,Малый,10-99 м2
4092,Малый,10-99 м2
4104,Малый,10-99 м2
4122,Средний,200-499 м2
4132,Средний,200-499 м2
4135,Малый,10-99 м2
4137,Малый,10-99 м2
4139,Средний,100-199 м2
4145,Малый,10-99 м2
4157,Малый,10-99 м2
4159,Средний,200-499 м2
4161,Малый,10-99 м2
4176,Малый,10-99 м2
4178,Средний,100-199 м2
4181,Малый,10-99 м2
4182,Малый,10-99 м2
4183,Средний,200-499 м2
4205,Средний,200-499 м2
4208,Малый,10-99 м2
4210,Малый,10-99 м2
4220,Малый,10-99 м2
4259,Большой,500-1999 м2
4260,Средний,200-499 м2
4263,Малый,10-99 м2
4267,Малый,10-99 м2
4270,Средний,100-199 м2
4273,Малый,10-99 м2
4289,Малый,10-99 м2
4293,Малый,10-99 м2
4299,Малый,10-99 м2
4301,Малый,10-99 м2
4308,Малый,10-99 м2
4312,Средний,100-199 м2
4317,Малый,10-99 м2
4318,Малый,10-99 м2
4321,Большой,500-1999 м2
4366,Большой,500-1999 м2
4367,Малый,10-99 м2
4393,Малый,10-99 м2
4394,Малый,10-99 м2
4395,Малый,10-99 м2
4396,Малый,10-99 м2
4397,Малый,10-99 м2
4405,Малый,10-99 м2
4418,Малый,10-99 м2
4425,Малый,10-99 м2
4434,Средний,200-499 м2
4444,Малый,10-99 м2
4453,Малый,10-99 м2
4456,Малый,10-99 м2
4457,Малый,10-99 м2
4460,Средний,200-499 м2
4464,Малый,10-99 м2
4474,Малый,10-99 м2
4475,Малый,10-99 м2
4476,Малый,10-99 м2
4478,Малый,10-99 м2
4493,Средний,100-199 м2
4502,Средний,100-199 м2
4503,Малый,10-99 м2
4506,Малый,10-99 м2
4528,Малый,10-99 м2
4529,Средний,100-199 м2
4534,Малый,10-99 м2
4535,Малый,10-99 м2
4541,Средний,100-199 м2
4544,Малый,10-99 м2
4548,Средний,100-199 м2
4554,Малый,10-99 м2
4561,Малый,10-99 м2
4564,Малый,10-99 м2
4566,Большой,500-1999 м2
4572,Малый,10-99 м2
4579,Малый,10-99 м2
4580,Средний,200-499 м2
4583,Малый,10-99 м2
4584,Малый,10-99 м2
4603,Малый,10-99 м2
4606,Малый,10-99 м2
4608,Малый,10-99 м2
4612,Малый,10-99 м2
4616,Малый,10-99 м2
4618,Малый,10-99 м2
4620,Средний,100-199 м2
4628,Средний,200-499 м2
4630,Малый,10-99 м2
4632,Малый,10-99 м2
4638,Малый,10-99 м2
4643,Малый,10-99 м2
4645,Большой,500-1999 м2
4647,Малый,10-99 м2
4656,Малый,10-99 м2
4658,Средний,100-199 м2
4660,Средний,200-499 м2
4663,Малый,10-99 м2
4668,Средний,100-199 м2
4674,Малый,10-99 м2
4689,Малый,10-99 м2
4693,Средний,200-499 м2
4695,Малый,10-99 м2
4696,Малый,10-99 м2
4706,Средний,100-199 м2
4711,Малый,10-99 м2
4721,Малый,10-99 м2
4738,Малый,10-99 м2
4744,Малый,10-99 м2
4763,Малый,10-99 м2
4773,Средний,200-499 м2
4776,Малый,10-99 м2
4780,Малый,10-99 м2
4790,Малый,10-99 м2
4800,Средний,100-199 м2
4813,Средний,200-499 м2
4814,Малый,10-99 м2
4820,Средний,100-199 м2
4821,Малый,10-99 м2
4835,Малый,10-99 м2
4836,Малый,10-99 м2
4843,Малый,10-99 м2
4849,Малый,10-99 м2
4852,Малый,10-99 м2
4853,Большой,2000-4999 м2
4856,Средний,100-199 м2
4876,Малый,10-99 м2
4882,Большой,500-1999 м2
4890,Малый,10-99 м2
4891,Большой,500-1999 м2
4892,Малый,10-99 м2
4909,Большой,500-1999 м2
4947,Малый,10-99 м2
4961,Малый,10-99 м2
4962,Малый,10-99 м2
4964,Малый,10-99 м2
4970,Средний,100-199 м2
4975,Малый,10-99 м2
4980,Малый,10-99 м2
4983,Средний,100-199 м2
4987,Средний,100-199 м2
4994,Малый,10-99 м2
5009,Малый,10-99 м2
5012,Малый,10-99 м2
5043,Малый,10-99 м2
5044,Средний,200-499 м2
5045,Средний,200-499 м2
5052,Средний,100-199 м2
5084,Большой,500-1999 м2
5085,Малый,10-99 м2
5092,Средний,100-199 м2
5100,Малый,10-99 м2
5105,Малый,10-99 м2
5106,Малый,10-99 м2
5108,Малый,10-99 м2
5115,Малый,10-99 м2
5116,Малый,10-99 м2
5117,Средний,100-199 м2
5136,Малый,10-99 м2
5137,Малый,10-99 м2
5158,Малый,10-99 м2
5159,Малый,10-99 м2
5169,Малый,10-99 м2
5176,Малый,10-99 м2
5177,Средний,100-199 м2
5183,Большой,500-1999 м2
5185,Средний,200-499 м2
5188,Малый,10-99 м2
5195,Большой,500-1999 м2
5196,Большой,2000-4999 м2
5197,Средний,100-199 м2
5201,Большой,500-1999 м2
5203,Большой,500-1999 м2
5204,Большой,500-1999 м2
5233,Малый,10-99 м2
5236,Средний,200-499 м2
5245,Малый,10-99 м2
5253,Малый,10-99 м2
5254,Малый,10-99 м2
5255,Малый,10-99 м2
5258,Малый,10-99 м2
5262,Малый,10-99 м2
5266,Малый,10-99 м2
5268,Малый,10-99 м2
5270,Малый,10-99 м2
5289,Средний,200-499 м2
5298,Средний,100-199 м2
5308,Малый,10-99 м2
5309,Малый,10-99 м2
5314,Малый,10-99 м2
5315,Средний,200-499 м2
5317,Малый,10-99 м2
5321,Средний,100-199 м2
5322,Малый,10-99 м2
5339,Большой,2000-4999 м2
5343,Малый,10-99 м2
5352,Малый,10-99 м2
5370,Малый,10-99 м2
5375,Малый,10-99 м2
5376,Малый,10-99 м2
5377,Средний,100-199 м2
5392,Малый,10-99 м2
5394,Малый,10-99 м2
5402,Малый,10-99 м2
5404,Малый,10-99 м2
5413,Большой,500-1999 м2
5415,Малый,10-99 м2
5425,Малый,10-99 м2
5427,Малый,10-99 м2
5428,Большой,500-1999 м2
5435,Малый,10-99 м2
5447,Малый,10-99 м2
5452,Малый,10-99 м2
5453,Малый,10-99 м2
5458,Малый,10-99 м2
5463,Малый,10-99 м2
5496,Малый,10-99 м2
5498,Средний,100-199 м2
5501,Средний,100-199 м2
5502,Малый,10-99 м2
5511,Большой,500-1999 м2
5512,Большой,500-1999 м2
5513,Большой,500-1999 м2
5514,Большой,500-1999 м2
5516,Большой,500-1999 м2
5518,Средний,100-199 м2
5519,Большой,500-1999 м2
5520,Большой,500-1999 м2
5521,Большой,500-1999 м2
5522,Большой,500-1999 м2
5523,Средний,100-199 м2
5526,Средний,200-499 м2
5527,Большой,500-1999 м2
5528,Средний,100-199 м2
5530,Большой,500-1999 м2
5531,Большой,500-1999 м2
5532,Средний,100-199 м2
5537,Большой,500-1999 м2
5538,Большой,500-1999 м2
5539,Большой,500-1999 м2
5543,Большой,500-1999 м2
5545,Большой,500-1999 м2
5547,Большой,500-1999 м2
5548,Средний,100-199 м2
5553,Большой,500-1999 м2
5556,Средний,200-499 м2
5559,Средний,200-499 м2
5560,Большой,500-1999 м2
5564,Большой,500-1999 м2
5565,Большой,500-1999 м2
5566,Средний,100-199 м2
5572,Средний,200-499 м2
5577,Средний,100-199 м2
5578,Средний,200-499 м2
5581,Средний,200-499 м2
5583,Большой,500-1999 м2
5584,Большой,500-1999 м2
5596,Большой,2000-4999 м2
5602,Большой,2000-4999 м2
5605,Большой,5000-7999 м2
5616,Малый,10-99 м2
5619,Малый,10-99 м2
5642,Малый,10-99 м2
5645,Малый,10-99 м2
5658,Малый,10-99 м2
5663,Средний,200-499 м2
5669,Малый,10-99 м2
5670,Малый,10-99 м2
5671,Большой,500-1999 м2
5674,Малый,10-99 м2
5676,Малый,10-99 м2
5678,Малый,10-99 м2
5679,Малый,10-99 м2
5682,Малый,10-99 м2
5683,Малый,10-99 м2
5689,Малый,10-99 м2
5692,Средний,200-499 м2
5694,Малый,10-99 м2
5696,Малый,10-99 м2
5723,Малый,10-99 м2
5740,Малый,10-99 м2
5747,Большой,2000-4999 м2
5756,Средний,200-499 м2
5778,Малый,10-99 м2
5791,Малый,10-99 м2
5794,Малый,10-99 м2
5801,Малый,10-99 м2
5806,Малый,10-99 м2
5819,Малый,10-99 м2
5825,Большой,500-1999 м2
5897,Малый,10-99 м2
5903,Малый,10-99 м2
5911,Малый,10-99 м2
5914,Средний,200-499 м2
5915,Средний,100-199 м2
5929,Малый,10-99 м2
5938,Малый,10-99 м2
5940,Малый,10-99 м2
5941,Малый,10-99 м2
5947,Средний,100-199 м2
5961,Средний,200-499 м2
5975,Малый,10-99 м2
5993,Малый,10-99 м2
6001,Малый,10-99 м2
6002,Малый,10-99 м2
6023,Малый,10-99 м2
6032,Малый,10-99 м2
6037,Малый,10-99 м2
6040,Малый,10-99 м2
6042,Малый,10-99 м2
6053,Малый,10-99 м2
6058,Средний,100-199 м2
6066,Малый,10-99 м2
6069,Малый,10-99 м2
6076,Малый,10-99 м2
6080,Малый,10-99 м2
6104,Малый,10-99 м2
6105,Малый,10-99 м2
6106,Малый,10-99 м2
6110,Малый,10-99 м2
6112,Малый,10-99 м2
6113,Большой,500-1999 м2
6114,Большой,500-1999 м2
6115,Большой,500-1999 м2
6117,Малый,10-99 м2
6140,Большой,500-1999 м2
6157,Большой,500-1999 м2
6159,Малый,10-99 м2
6162,Малый,10-99 м2
6170,Малый,10-99 м2
6172,Малый,10-99 м2
6173,Средний,100-199 м2
6190,Малый,10-99 м2
6198,Малый,10-99 м2
6200,Малый,10-99 м2
6201,Малый,10-99 м2
6203,Малый,10-99 м2
6204,Малый,10-99 м2
6205,Малый,10-99 м2
6212,Малый,10-99 м2
6230,Малый,10-99 м2
6234,Средний,100-199 м2
6236,Малый,10-99 м2
6242,Малый,10-99 м2
6243,Малый,10-99 м2
6251,Средний,100-199 м2
6257,Малый,10-99 м2
6260,Малый,10-99 м2
6274,Малый,10-99 м2
6275,Малый,10-99 м2
6276,Малый,10-99 м2
6277,Малый,10-99 м2
6279,Малый,10-99 м2
6282,Средний,200-499 м2
6283,Средний,100-199 м2
6284,Средний,100-199 м2
6285,Малый,10-99 м2
6293,Малый,10-99 м2
6294,Средний,100-199 м2
6301,Малый,10-99 м2
6305,Малый,10-99 м2
6309,Малый,10-99 м2
6311,Малый,10-99 м2
6315,Малый,10-99 м2
6321,Малый,10-99 м2
6326,Малый,10-99 м2
6346,Малый,10-99 м2
6348,Малый,10-99 м2
6352,Малый,10-99 м2
6355,Малый,10-99 м2
6356,Средний,100-199 м2
6365,Малый,10-99 м2
6374,Малый,10-99 м2
6381,Малый,10-99 м2
6386,Малый,10-99 м2
6388,Большой,500-1999 м2
6393,Малый,10-99 м2
6402,Малый,10-99 м2
6405,Малый,10-99 м2
6406,Малый,10-99 м2
6407,Малый,10-99 м2
6408,Средний,100-199 м2
6411,Малый,10-99 м2
6414,Средний,100-199 м2
6420,Малый,10-99 м2
6423,Малый,10-99 м2
6430,Малый,10-99 м2
6438,Малый,10-99 м2
6440,Малый,10-99 м2
6450,Малый,10-99 м2
6455,Малый,10-99 м2
6458,Малый,10-99 м2
6460,Малый,10-99 м2
6462,Средний,200-499 м2
6475,Малый,10-99 м2
6478,Малый,10-99 м2
6481,Малый,10-99 м2
6493,Малый,10-99 м2
6498,Малый,10-99 м2
6504,Средний,200-499 м2
6505,Средний,100-199 м2
6530,Малый,10-99 м2
6560,Малый,10-99 м2
6561,Малый,10-99 м2
6566,Малый,10-99 м2
6568,Малый,10-99 м2
6575,Малый,10-99 м2
6576,Малый,10-99 м2
6584,Малый,10-99 м2
6585,Малый,10-99 м2
6587,Средний,100-199 м2
6596,Малый,10-99 м2
6597,Малый,10-99 м2
6598,Малый,10-99 м2
6602,Малый,10-99 м2
6605,Малый,10-99 м2
6608,Средний,100-199 м2
6613,Малый,10-99 м2
6617,Малый,10-99 м2
6619,Малый,10-99 м2
6627,Малый,10-99 м2
6634,Малый,10-99 м2
6638,Малый,10-99 м2
6642,Малый,10-99 м2
6651,Малый,10-99 м2
6656,Малый,10-99 м2
6658,Малый,10-99 м2
6663,Малый,10-99 м2
6664,Малый,10-99 м2
6665,Малый,10-99 м2
6667,Малый,10-99 м2
6672,Малый,10-99 м2
6674,Малый,10-99 м2
6684,Средний,100-199 м2
6688,Малый,10-99 м2
6959,Средний,100-199 м2
6961,Малый,10-99 м2
6966,Средний,100-199 м2
6975,Малый,10-99 м2
6977,Малый,10-99 м2
6979,Малый,10-99 м2
7004,Малый,10-99 м2
7036,Малый,10-99 м2
7054,Малый,10-99 м2
7059,Малый,10-99 м2
7095,Малый,10-99 м2
7110,Малый,10-99 м2
7111,Малый,10-99 м2
7112,Малый,10-99 м2
7126,Малый,10-99 м2
7132,Средний,100-199 м2
7164,Малый,10-99 м2
7181,Малый,10-99 м2
7182,Малый,10-99 м2
7185,Малый,10-99 м2
