id,idBP,idFilial,visit_date,calc_share,visits_count,calls_count
58,64647,11,02.08.2015,,1,0
59,68215,11,02.08.2015,,1,0
60,6651,9,02.08.2015,,0,1
61,5196,8,02.08.2015,,0,1
62,63567,15,02.08.2015,,0,1
63,423,4,03.08.2015,,1,0
64,801,4,03.08.2015,,1,0
65,1020,4,03.08.2015,,1,0
66,1302,4,03.08.2015,,1,0
67,4208,4,03.08.2015,,1,0
68,5169,4,03.08.2015,,1,0
69,5201,4,03.08.2015,,1,0
70,17297,4,03.08.2015,,1,0
71,17505,4,03.08.2015,,1,0
72,59478,4,03.08.2015,,1,0
73,59796,4,03.08.2015,,1,0
74,61378,4,03.08.2015,,1,0
75,61397,4,03.08.2015,,1,0
76,61744,4,03.08.2015,,1,0
77,62346,4,03.08.2015,,1,0
78,63304,4,03.08.2015,,1,0
79,63852,4,03.08.2015,,1,0
80,65557,4,03.08.2015,,1,0
81,65909,4,03.08.2015,,1,0
82,66355,4,03.08.2015,,1,0
83,67460,4,03.08.2015,,1,0
84,68445,4,03.08.2015,,1,0
85,68589,4,03.08.2015,,1,0
86,68647,4,03.08.2015,,1,0
87,68754,4,03.08.2015,,1,0
88,69871,4,03.08.2015,,1,0
89,458,6,03.08.2015,,1,0
90,656,6,03.08.2015,,1,0
91,2547,6,03.08.2015,,1,0
92,2742,6,03.08.2015,,1,0
93,5545,6,03.08.2015,,1,0
94,13734,6,03.08.2015,,1,0
95,16573,6,03.08.2015,,1,0
96,16880,6,03.08.2015,,1,0
97,17070,6,03.08.2015,,1,0
98,60910,6,03.08.2015,,1,0
99,61449,6,03.08.2015,,1,0
100,62451,6,03.08.2015,,1,0
101,64406,6,03.08.2015,,1,0
102,65912,6,03.08.2015,,1,0
103,66686,6,03.08.2015,,1,0
104,68127,6,03.08.2015,,1,0
105,68320,6,03.08.2015,,1,0
106,68386,6,03.08.2015,,1,0
107,68734,6,03.08.2015,,1,0
108,68740,6,03.08.2015,,1,0
109,68745,6,03.08.2015,,1,0
110,68760,6,03.08.2015,,1,0
111,68779,6,03.08.2015,,1,0
112,68917,6,03.08.2015,,1,0
113,68937,6,03.08.2015,,1,0
114,69081,6,03.08.2015,,1,0
115,69082,6,03.08.2015,,1,0
116,69086,6,03.08.2015,,1,0
117,69135,6,03.08.2015,,1,0
118,69146,6,03.08.2015,,1,0
119,69610,6,03.08.2015,,1,0
120,69670,6,03.08.2015,,1,0
121,454,10,03.08.2015,,1,0
122,611,10,03.08.2015,,1,0
123,1058,10,03.08.2015,,1,0
124,1074,10,03.08.2015,,1,0
125,3124,10,03.08.2015,,1,0
126,3414,10,03.08.2015,,1,0
127,3792,10,03.08.2015,,1,0
128,4139,10,03.08.2015,,1,0
129,4693,10,03.08.2015,,1,0
130,4814,10,03.08.2015,,1,0
131,4892,10,03.08.2015,,1,0
132,5105,10,03.08.2015,,1,0
133,5322,10,03.08.2015,,1,0
134,5393,10,03.08.2015,,1,0
135,5616,10,03.08.2015,,1,0
136,5619,10,03.08.2015,,1,0
137,5819,10,03.08.2015,,1,0
138,5941,10,03.08.2015,,1,0
139,6283,10,03.08.2015,,1,0
140,6305,10,03.08.2015,,1,0
141,7255,10,03.08.2015,,1,0
142,16550,10,03.08.2015,,1,0
143,16555,10,03.08.2015,,1,0
144,16696,10,03.08.2015,,1,0
145,17043,10,03.08.2015,,1,0
146,59529,10,03.08.2015,,1,0
147,59611,10,03.08.2015,,1,0
148,59632,10,03.08.2015,,1,0
149,59702,10,03.08.2015,,1,0
150,59711,10,03.08.2015,,1,0
151,60215,10,03.08.2015,,1,0
152,61122,10,03.08.2015,,1,0
153,61262,10,03.08.2015,,1,0
154,61447,10,03.08.2015,,1,0
155,61676,10,03.08.2015,,1,0
156,62494,10,03.08.2015,,1,0
157,63222,10,03.08.2015,,1,0
158,63287,10,03.08.2015,,1,0
159,63384,10,03.08.2015,,1,0
160,63421,10,03.08.2015,,1,0
161,63523,10,03.08.2015,,1,0
162,63603,10,03.08.2015,,1,0
163,63767,10,03.08.2015,,1,0
164,64081,10,03.08.2015,,1,0
165,64468,10,03.08.2015,,1,0
166,64687,10,03.08.2015,,1,0
167,64948,10,03.08.2015,,1,0
168,65167,10,03.08.2015,,1,0
169,65987,10,03.08.2015,,1,0
170,66275,10,03.08.2015,,1,0
171,66303,10,03.08.2015,,1,0
172,66376,10,03.08.2015,,1,0
173,66898,10,03.08.2015,,1,0
174,67004,10,03.08.2015,,1,0
175,67918,10,03.08.2015,,1,0
176,68487,10,03.08.2015,,1,0
177,68528,10,03.08.2015,,1,0
178,68928,10,03.08.2015,,1,0
179,69171,10,03.08.2015,,1,0
180,69308,10,03.08.2015,,1,0
181,69450,10,03.08.2015,,1,0
182,329,11,03.08.2015,,1,0
183,1372,11,03.08.2015,,1,0
184,3309,11,03.08.2015,,1,0
185,4270,11,03.08.2015,,1,0
186,4394,11,03.08.2015,,1,0
187,5975,11,03.08.2015,,1,0
188,6352,11,03.08.2015,,1,0
189,12334,11,03.08.2015,,1,0
190,14297,11,03.08.2015,,1,0
191,18223,11,03.08.2015,,1,0
192,59795,11,03.08.2015,,1,0
193,59797,11,03.08.2015,,1,0
194,63398,11,03.08.2015,,1,0
195,64839,11,03.08.2015,,1,0
196,66433,11,03.08.2015,,1,0
197,67942,11,03.08.2015,,1,0
198,67944,11,03.08.2015,,1,0
199,68092,11,03.08.2015,,1,0
200,68238,11,03.08.2015,,1,0
201,69570,11,03.08.2015,,1,0
202,69931,11,03.08.2015,,1,0
203,132,12,03.08.2015,,1,0
204,1820,12,03.08.2015,,1,0
205,2466,12,03.08.2015,,1,0
206,3926,12,03.08.2015,,1,0
207,4909,12,03.08.2015,,1,0
208,5914,12,03.08.2015,,1,0
209,60926,12,03.08.2015,,1,0
210,63534,12,03.08.2015,,1,0
211,64323,12,03.08.2015,,1,0
212,65520,12,03.08.2015,,1,0
213,65559,12,03.08.2015,,1,0
214,66243,12,03.08.2015,,1,0
215,69285,12,03.08.2015,,1,0
216,69294,12,03.08.2015,,1,0
217,69295,12,03.08.2015,,1,0
218,69329,12,03.08.2015,,1,0
219,586,9,03.08.2015,,1,0
220,957,9,03.08.2015,,1,0
221,3973,9,03.08.2015,,1,0
222,6157,9,03.08.2015,,1,0
223,16599,9,03.08.2015,,1,0
224,61693,9,03.08.2015,,1,0
225,63575,9,03.08.2015,,1,0
226,65358,9,03.08.2015,,0,1
227,67105,9,03.08.2015,,1,0
228,68362,9,03.08.2015,,1,0
229,3488,8,03.08.2015,,1,0
230,5100,8,03.08.2015,,1,0
231,6959,8,03.08.2015,,1,0
232,13572,8,03.08.2015,,1,0
233,18280,8,03.08.2015,,1,0
234,59666,8,03.08.2015,,1,0
235,61295,8,03.08.2015,,1,0
236,62886,8,03.08.2015,,1,0
237,63064,8,03.08.2015,,1,0
238,64391,8,03.08.2015,,1,0
239,66154,8,03.08.2015,,1,0
240,67441,8,03.08.2015,,1,0
241,68806,8,03.08.2015,,1,0
242,16592,15,03.08.2015,,1,0
243,61951,15,03.08.2015,,1,0
244,61959,15,03.08.2015,,1,0
245,64553,15,03.08.2015,,1,0
246,66620,15,03.08.2015,,1,0
247,67085,15,03.08.2015,,1,0
248,63556,17,03.08.2015,,1,0
249,64054,17,03.08.2015,,1,0
250,66392,17,03.08.2015,,1,0
251,66517,17,03.08.2015,,1,0
252,66539,17,03.08.2015,,1,0
253,1391,4,04.08.2015,,1,0
254,3525,4,04.08.2015,,1,0
255,6000,4,04.08.2015,,1,0
256,6346,4,04.08.2015,,1,0
257,6393,4,04.08.2015,,1,0
258,13813,4,04.08.2015,,1,0
259,14655,4,04.08.2015,,1,0
260,15815,4,04.08.2015,,1,0
261,16660,4,04.08.2015,,1,0
262,16963,4,04.08.2015,,1,0
263,17301,4,04.08.2015,,1,0
264,17557,4,04.08.2015,,1,0
265,18341,4,04.08.2015,,1,0
266,59589,4,04.08.2015,,1,0
267,60237,4,04.08.2015,,1,0
268,60917,4,04.08.2015,,1,0
269,60918,4,04.08.2015,,1,0
270,61083,4,04.08.2015,,1,0
271,61334,4,04.08.2015,,1,0
272,61389,4,04.08.2015,,1,0
273,63800,4,04.08.2015,,1,0
274,63825,4,04.08.2015,,1,0
275,63830,4,04.08.2015,,1,0
276,63847,4,04.08.2015,,1,0
277,63858,4,04.08.2015,,1,0
278,63886,4,04.08.2015,,1,0
279,63900,4,04.08.2015,,1,0
280,64274,4,04.08.2015,,1,0
281,64620,4,04.08.2015,,1,0
282,64976,4,04.08.2015,,1,0
283,65557,4,04.08.2015,,1,0
284,65950,4,04.08.2015,,1,0
285,66059,4,04.08.2015,,1,0
286,66565,4,04.08.2015,,1,0
287,66719,4,04.08.2015,,1,0
288,66932,4,04.08.2015,,1,0
289,67074,4,04.08.2015,,1,0
290,67427,4,04.08.2015,,1,0
291,67483,4,04.08.2015,,1,0
292,67530,4,04.08.2015,,1,0
293,67882,4,04.08.2015,,1,0
294,68553,4,04.08.2015,,1,0
295,68647,4,04.08.2015,,1,0
296,68811,4,04.08.2015,,1,0
297,68954,4,04.08.2015,,1,0
298,69116,4,04.08.2015,,1,0
299,69452,4,04.08.2015,,1,0
300,69871,4,04.08.2015,,1,0
301,372,6,04.08.2015,,1,0
302,3264,6,04.08.2015,,1,0
303,5511,6,04.08.2015,,1,0
304,5513,6,04.08.2015,,1,0
305,5516,6,04.08.2015,,1,0
306,5532,6,04.08.2015,,1,0
307,5545,6,04.08.2015,,1,0
308,5548,6,04.08.2015,,1,0
309,5747,6,04.08.2015,,1,0
310,6561,6,04.08.2015,,1,0
311,61356,6,04.08.2015,,1,0
312,62184,6,04.08.2015,,1,0
313,62388,6,04.08.2015,,1,0
314,65100,6,04.08.2015,,1,0
315,66020,6,04.08.2015,,1,0
316,66427,6,04.08.2015,,1,0
317,68346,6,04.08.2015,,1,0
318,68779,6,04.08.2015,,1,0
319,69119,6,04.08.2015,,1,0
320,69127,6,04.08.2015,,1,0
321,262,10,04.08.2015,,1,0
322,352,10,04.08.2015,,1,0
323,413,10,04.08.2015,,1,0
324,467,10,04.08.2015,,1,0
325,592,10,04.08.2015,,1,0
326,637,10,04.08.2015,,1,0
327,723,10,04.08.2015,,1,0
328,972,10,04.08.2015,,1,0
329,1160,10,04.08.2015,,1,0
330,1431,10,04.08.2015,,1,0
331,1461,10,04.08.2015,,1,0
332,1749,10,04.08.2015,,1,0
333,1759,10,04.08.2015,,1,0
334,2517,10,04.08.2015,,1,0
335,2536,10,04.08.2015,,1,0
336,2891,10,04.08.2015,,1,0
337,3059,10,04.08.2015,,1,0
338,3100,10,04.08.2015,,1,0
339,3165,10,04.08.2015,,1,0
340,3279,10,04.08.2015,,1,0
341,3300,10,04.08.2015,,1,0
342,3386,10,04.08.2015,,1,0
343,3387,10,04.08.2015,,1,0
344,3465,10,04.08.2015,,1,0
345,3763,10,04.08.2015,,1,0
346,3811,10,04.08.2015,,1,0
347,3828,10,04.08.2015,,1,0
348,3969,10,04.08.2015,,1,0
349,4157,10,04.08.2015,,1,0
350,4176,10,04.08.2015,,1,0
351,4647,10,04.08.2015,,1,0
352,5314,10,04.08.2015,,1,0
353,5402,10,04.08.2015,,1,0
354,5452,10,04.08.2015,,1,0
355,5642,10,04.08.2015,,1,0
356,6170,10,04.08.2015,,1,0
357,6275,10,04.08.2015,,1,0
358,6466,10,04.08.2015,,1,0
359,6576,10,04.08.2015,,1,0
360,6584,10,04.08.2015,,1,0
361,6585,10,04.08.2015,,1,0
362,6602,10,04.08.2015,,1,0
363,6638,10,04.08.2015,,1,0
364,6961,10,04.08.2015,,1,0
365,13132,10,04.08.2015,,1,0
366,13574,10,04.08.2015,,1,0
367,13712,10,04.08.2015,,1,0
368,14134,10,04.08.2015,,1,0
369,17313,10,04.08.2015,,1,0
370,17426,10,04.08.2015,,1,0
371,17603,10,04.08.2015,,1,0
372,17942,10,04.08.2015,,1,0
373,50992,10,04.08.2015,,1,0
374,59532,10,04.08.2015,,1,0
375,59546,10,04.08.2015,,1,0
376,59609,10,04.08.2015,,1,0
377,59643,10,04.08.2015,,1,0
378,61002,10,04.08.2015,,1,0
379,61771,10,04.08.2015,,1,0
380,61900,10,04.08.2015,,1,0
381,62009,10,04.08.2015,,1,0
382,62825,10,04.08.2015,,1,0
383,63029,10,04.08.2015,,1,0
384,63173,10,04.08.2015,,1,0
385,63646,10,04.08.2015,,1,0
386,63664,10,04.08.2015,,1,0
387,64008,10,04.08.2015,,1,0
388,64194,10,04.08.2015,,1,0
389,64341,10,04.08.2015,,1,0
390,64365,10,04.08.2015,,1,0
391,64493,10,04.08.2015,,1,0
392,64638,10,04.08.2015,,1,0
393,64668,10,04.08.2015,,1,0
394,65461,10,04.08.2015,,1,0
395,65903,10,04.08.2015,,1,0
396,65919,10,04.08.2015,,1,0
397,65992,10,04.08.2015,,1,0
398,66097,10,04.08.2015,,1,0
399,66124,10,04.08.2015,,1,0
400,66188,10,04.08.2015,,1,0
401,66321,10,04.08.2015,,1,0
402,66363,10,04.08.2015,,1,0
403,66394,10,04.08.2015,,1,0
404,66589,10,04.08.2015,,1,0
405,66592,10,04.08.2015,,1,0
406,66752,10,04.08.2015,,1,0
407,67005,10,04.08.2015,,1,0
408,67006,10,04.08.2015,,1,0
409,67295,10,04.08.2015,,1,0
410,67299,10,04.08.2015,,1,0
411,67553,10,04.08.2015,,1,0
412,67554,10,04.08.2015,,1,0
413,67975,10,04.08.2015,,1,0
414,68038,10,04.08.2015,,1,0
415,68126,10,04.08.2015,,1,0
416,68143,10,04.08.2015,,1,0
417,68213,10,04.08.2015,,1,0
418,68269,10,04.08.2015,,1,0
419,68287,10,04.08.2015,,1,0
420,68289,10,04.08.2015,,1,0
421,68321,10,04.08.2015,,1,0
422,68412,10,04.08.2015,,1,0
423,68468,10,04.08.2015,,1,0
424,68476,10,04.08.2015,,1,0
425,68632,10,04.08.2015,,1,0
426,68702,10,04.08.2015,,1,0
427,68803,10,04.08.2015,,1,0
428,68988,10,04.08.2015,,1,0
429,69062,10,04.08.2015,,1,0
430,69187,10,04.08.2015,,1,0
431,69652,10,04.08.2015,,1,0
432,69870,10,04.08.2015,,1,0
433,412,11,04.08.2015,,1,0
434,1297,11,04.08.2015,,1,0
435,1773,11,04.08.2015,,1,0
436,3793,11,04.08.2015,,1,0
437,4299,11,04.08.2015,,1,0
438,4395,11,04.08.2015,,1,0
439,5115,11,04.08.2015,,1,0
440,14297,11,04.08.2015,,1,0
441,16590,11,04.08.2015,,1,0
442,60241,11,04.08.2015,,1,0
443,60524,11,04.08.2015,,1,0
444,60968,11,04.08.2015,,1,0
445,62959,11,04.08.2015,,1,0
446,64199,11,04.08.2015,,1,0
447,65368,11,04.08.2015,,1,0
448,66004,11,04.08.2015,,1,0
449,66666,11,04.08.2015,,1,0
450,67305,11,04.08.2015,,1,0
451,68140,11,04.08.2015,,1,0
452,68243,11,04.08.2015,,1,0
453,68277,11,04.08.2015,,1,0
454,68847,11,04.08.2015,,1,0
455,69315,11,04.08.2015,,1,0
456,69317,11,04.08.2015,,1,0
457,4566,12,04.08.2015,,1,0
458,5825,12,04.08.2015,,1,0
459,16319,12,04.08.2015,,1,0
460,60714,12,04.08.2015,,1,0
461,60998,12,04.08.2015,,1,0
462,62298,12,04.08.2015,,1,0
463,62498,12,04.08.2015,,1,0
464,62594,12,04.08.2015,,1,0
465,62901,12,04.08.2015,,1,0
466,63530,12,04.08.2015,,1,0
467,64361,12,04.08.2015,,1,0
468,64910,12,04.08.2015,,1,0
469,65459,12,04.08.2015,,1,0
470,66727,12,04.08.2015,,1,0
471,67570,12,04.08.2015,,1,0
472,68220,12,04.08.2015,,1,0
473,68949,12,04.08.2015,,1,0
474,69283,12,04.08.2015,,1,0
475,69287,12,04.08.2015,,1,0
476,69341,12,04.08.2015,,1,0
477,69356,12,04.08.2015,,1,0
478,69365,12,04.08.2015,,1,0
479,69373,12,04.08.2015,,1,0
480,69835,12,04.08.2015,,1,0
481,386,9,04.08.2015,,1,0
482,3136,9,04.08.2015,,1,0
483,3492,9,04.08.2015,,1,0
484,3495,9,04.08.2015,,1,0
485,5315,9,04.08.2015,,1,0
486,16442,9,04.08.2015,,1,0
487,64091,9,04.08.2015,,1,0
488,64390,9,04.08.2015,,1,0
489,66479,9,04.08.2015,,1,0
490,66662,9,04.08.2015,,1,0
491,66781,9,04.08.2015,,1,0
492,69172,9,04.08.2015,,1,0
493,69220,9,04.08.2015,,1,0
494,922,8,04.08.2015,,1,0
495,1179,8,04.08.2015,,1,0
496,3647,8,04.08.2015,,1,0
497,4594,8,04.08.2015,,1,0
498,5043,8,04.08.2015,,1,0
499,5352,8,04.08.2015,,1,0
500,5578,8,04.08.2015,,1,0
501,5581,8,04.08.2015,,1,0
502,6251,8,04.08.2015,,1,0
503,9216,8,04.08.2015,,1,0
504,14191,8,04.08.2015,,1,0
505,14198,8,04.08.2015,,1,0
506,14207,8,04.08.2015,,1,0
507,16752,8,04.08.2015,,1,0
508,61161,8,04.08.2015,,1,0
509,61224,8,04.08.2015,,1,0
510,61274,8,04.08.2015,,1,0
511,61721,8,04.08.2015,,1,0
512,64095,8,04.08.2015,,1,0
513,64149,8,04.08.2015,,1,0
514,64208,8,04.08.2015,,1,0
515,64388,8,04.08.2015,,1,0
516,65974,8,04.08.2015,,1,0
517,66302,8,04.08.2015,,1,0
518,67431,8,04.08.2015,,1,0
519,67441,8,04.08.2015,,1,0
520,67452,8,04.08.2015,,1,0
521,67545,8,04.08.2015,,1,0
522,69006,8,04.08.2015,,1,0
523,941,15,04.08.2015,,0,1
524,3668,15,04.08.2015,,1,0
525,3670,15,04.08.2015,,1,0
526,3671,15,04.08.2015,,1,0
527,4538,15,04.08.2015,,0,1
528,59662,15,04.08.2015,,1,0
529,59827,15,04.08.2015,,1,0
530,63615,15,04.08.2015,,1,0
531,535,4,05.08.2015,,1,0
532,849,4,05.08.2015,,1,0
533,1056,4,05.08.2015,,1,0
534,3163,4,05.08.2015,,1,0
535,3364,4,05.08.2015,,1,0
536,4058,4,05.08.2015,,1,0
537,5320,4,05.08.2015,,1,0
538,6411,4,05.08.2015,,1,0
539,17301,4,05.08.2015,,1,0
540,60860,4,05.08.2015,,1,0
541,62622,4,05.08.2015,,1,0
542,63619,4,05.08.2015,,1,0
543,63800,4,05.08.2015,,1,0
544,63841,4,05.08.2015,,1,0
545,63855,4,05.08.2015,,1,0
546,63882,4,05.08.2015,,1,0
547,63892,4,05.08.2015,,1,0
548,64015,4,05.08.2015,,1,0
549,64624,4,05.08.2015,,1,0
550,64806,4,05.08.2015,,1,0
551,65473,4,05.08.2015,,1,0
552,66075,4,05.08.2015,,1,0
553,66076,4,05.08.2015,,1,0
554,66619,4,05.08.2015,,1,0
555,66928,4,05.08.2015,,0,1
556,69660,4,05.08.2015,,1,0
557,375,6,05.08.2015,,1,0
558,458,6,05.08.2015,,1,0
559,906,6,05.08.2015,,0,1
560,992,6,05.08.2015,,1,0
561,2547,6,05.08.2015,,1,0
562,2742,6,05.08.2015,,1,0
563,3099,6,05.08.2015,,0,1
564,3818,6,05.08.2015,,1,0
565,3855,6,05.08.2015,,1,0
566,4260,6,05.08.2015,,1,0
567,4987,6,05.08.2015,,0,1
568,5538,6,05.08.2015,,1,0
569,5539,6,05.08.2015,,1,0
570,5543,6,05.08.2015,,1,0
571,5583,6,05.08.2015,,1,0
572,5584,6,05.08.2015,,0,1
573,5663,6,05.08.2015,,1,0
574,6140,6,05.08.2015,,0,1
575,14289,6,05.08.2015,,0,1
576,17022,6,05.08.2015,,1,0
577,61009,6,05.08.2015,,1,0
578,61355,6,05.08.2015,,1,0
579,62242,6,05.08.2015,,0,1
580,63580,6,05.08.2015,,1,0
581,64514,6,05.08.2015,,0,1
582,64588,6,05.08.2015,,0,1
583,65934,6,05.08.2015,,1,0
584,66020,6,05.08.2015,,1,0
585,66801,6,05.08.2015,,1,0
586,68111,6,05.08.2015,,1,0
587,68222,6,05.08.2015,,1,0
588,68225,6,05.08.2015,,1,0
589,68228,6,05.08.2015,,1,0
590,68229,6,05.08.2015,,1,0
591,68398,6,05.08.2015,,1,0
592,68667,6,05.08.2015,,0,1
593,68699,6,05.08.2015,,1,0
594,68740,6,05.08.2015,,1,0
595,68917,6,05.08.2015,,1,0
596,69136,6,05.08.2015,,0,1
597,69520,6,05.08.2015,,1,0
598,69565,6,05.08.2015,,1,0
599,69670,6,05.08.2015,,1,0
600,69671,6,05.08.2015,,1,0
601,69847,6,05.08.2015,,0,1
602,189,10,05.08.2015,,1,0
603,259,10,05.08.2015,,1,0
604,390,10,05.08.2015,,1,0
605,2462,10,05.08.2015,,1,0
606,2478,10,05.08.2015,,1,0
607,2685,10,05.08.2015,,1,0
608,3415,10,05.08.2015,,1,0
609,3417,10,05.08.2015,,1,0
610,3592,10,05.08.2015,,1,0
611,3691,10,05.08.2015,,1,0
612,3981,10,05.08.2015,,1,0
613,3982,10,05.08.2015,,1,0
614,4579,10,05.08.2015,,1,0
615,4660,10,05.08.2015,,1,0
616,4696,10,05.08.2015,,1,0
617,4720,10,05.08.2015,,1,0
618,4780,10,05.08.2015,,1,0
619,5177,10,05.08.2015,,1,0
620,5266,10,05.08.2015,,1,0
621,5498,10,05.08.2015,,1,0
622,5501,10,05.08.2015,,1,0
623,5670,10,05.08.2015,,1,0
624,5689,10,05.08.2015,,1,0
625,5794,10,05.08.2015,,1,0
626,5801,10,05.08.2015,,1,0
627,7054,10,05.08.2015,,1,0
628,8007,10,05.08.2015,,1,0
629,13121,10,05.08.2015,,1,0
630,14357,10,05.08.2015,,1,0
631,16553,10,05.08.2015,,1,0
632,16555,10,05.08.2015,,1,0
633,17334,10,05.08.2015,,1,0
634,17607,10,05.08.2015,,1,0
635,18213,10,05.08.2015,,1,0
636,18330,10,05.08.2015,,1,0
637,59568,10,05.08.2015,,1,0
638,60899,10,05.08.2015,,1,0
639,60964,10,05.08.2015,,1,0
640,61184,10,05.08.2015,,1,0
641,61977,10,05.08.2015,,1,0
642,62709,10,05.08.2015,,1,0
643,62941,10,05.08.2015,,1,0
644,63116,10,05.08.2015,,1,0
645,63487,10,05.08.2015,,1,0
646,63937,10,05.08.2015,,1,0
647,63977,10,05.08.2015,,1,0
648,64048,10,05.08.2015,,1,0
649,64099,10,05.08.2015,,1,0
650,66129,10,05.08.2015,,1,0
651,66249,10,05.08.2015,,1,0
652,66348,10,05.08.2015,,1,0
653,66460,10,05.08.2015,,1,0
654,66510,10,05.08.2015,,1,0
655,66511,10,05.08.2015,,1,0
656,66515,10,05.08.2015,,1,0
657,66525,10,05.08.2015,,0,1
658,67124,10,05.08.2015,,1,0
659,67269,10,05.08.2015,,1,0
660,68022,10,05.08.2015,,1,0
661,68258,10,05.08.2015,,1,0
662,68316,10,05.08.2015,,1,0
663,68612,10,05.08.2015,,1,0
664,68916,10,05.08.2015,,1,0
665,68960,10,05.08.2015,,1,0
666,69137,10,05.08.2015,,1,0
667,69313,10,05.08.2015,,1,0
668,69406,10,05.08.2015,,1,0
669,69428,10,05.08.2015,,1,0
670,69454,10,05.08.2015,,1,0
671,69477,10,05.08.2015,,1,0
672,69678,10,05.08.2015,,1,0
673,329,11,05.08.2015,,1,0
674,1363,11,05.08.2015,,1,0
675,4270,11,05.08.2015,,1,0
676,4396,11,05.08.2015,,1,0
677,4856,11,05.08.2015,,1,0
678,5375,11,05.08.2015,,1,0
679,6688,11,05.08.2015,,1,0
680,16792,11,05.08.2015,,1,0
681,17311,11,05.08.2015,,1,0
682,59797,11,05.08.2015,,1,0
683,65564,11,05.08.2015,,1,0
684,67026,11,05.08.2015,,0,1
685,67327,11,05.08.2015,,1,0
686,68238,11,05.08.2015,,1,0
687,68369,11,05.08.2015,,1,0
688,69485,11,05.08.2015,,1,0
689,69571,11,05.08.2015,,1,0
690,16883,12,05.08.2015,,1,0
691,61402,12,05.08.2015,,1,0
692,63208,12,05.08.2015,,1,0
693,63303,12,05.08.2015,,1,0
694,63390,12,05.08.2015,,1,0
695,63534,12,05.08.2015,,1,0
696,64052,12,05.08.2015,,1,0
697,66642,12,05.08.2015,,1,0
698,69090,12,05.08.2015,,1,0
699,69139,12,05.08.2015,,1,0
700,69269,12,05.08.2015,,1,0
701,69270,12,05.08.2015,,1,0
702,69271,12,05.08.2015,,1,0
703,69275,12,05.08.2015,,1,0
704,69276,12,05.08.2015,,1,0
705,69279,12,05.08.2015,,1,0
706,69284,12,05.08.2015,,1,0
707,69294,12,05.08.2015,,1,0
708,69296,12,05.08.2015,,1,0
709,69322,12,05.08.2015,,1,0
710,69331,12,05.08.2015,,1,0
711,69342,12,05.08.2015,,1,0
712,69381,12,05.08.2015,,1,0
713,69496,12,05.08.2015,,1,0
714,69744,12,05.08.2015,,1,0
715,585,9,05.08.2015,,0,1
716,3479,9,05.08.2015,,1,0
717,13203,9,05.08.2015,,1,0
718,16586,9,05.08.2015,,1,0
719,30974,9,05.08.2015,,0,1
720,60119,9,05.08.2015,,1,0
721,62610,9,05.08.2015,,1,0
722,62830,9,05.08.2015,,1,0
723,64138,9,05.08.2015,,1,0
724,64501,9,05.08.2015,,0,1
725,66476,9,05.08.2015,,1,0
726,67028,9,05.08.2015,,1,0
727,68822,9,05.08.2015,,1,0
728,69072,9,05.08.2015,,1,0
729,69075,9,05.08.2015,,1,0
730,204,8,05.08.2015,,1,0
731,205,8,05.08.2015,,1,0
732,1179,8,05.08.2015,,1,0
733,3537,8,05.08.2015,,1,0
734,3647,8,05.08.2015,,1,0
